date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:33	18086/18086	---M-Z	200	added ('OK')	text/html	etag:%2246a6-3fb4390643980-gzip%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/mg/post.htm	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/mg/post.html	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/mg/index.htm)
17:04:34	149005/149005	---MC-	404	error ('Not%20Found')	text/html	etag:%221j0jll2%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/_httpquery_	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/n/_httpquery_	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/index.htm)
17:04:35	22874/22874	---M-Z	200	added ('OK')	text/html	etag:%22595a-3fb4390643980-gzip%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/parallel.htm	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/n/parallel.html	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/index.htm)
17:04:36	19908/19908	---M-Z	200	added ('OK')	text/html	etag:%224dc4-3fb4390643980-gzip%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/post.htm	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/n/post.html	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/index.htm)
17:04:37	149005/149005	---MC-	404	error ('Not%20Found')	text/html	etag:%221j0jll2%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/l/_httpquery_	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/l/_httpquery_	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/l/index.htm)
17:04:38	22886/22886	---M-Z	200	added ('OK')	text/html	etag:%225966-3fb4390643980-gzip%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/l/parallel.htm	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/l/parallel.html	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/l/index.htm)
17:04:39	22048/22048	---M-Z	200	added ('OK')	text/html	etag:%225620-3fb4390643980-gzip%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/l/post.htm	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/l/post.html	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/l/index.htm)
17:04:40	149005/149005	---MC-	404	error ('Not%20Found')	text/html	etag:%221j0jll2%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/p1/_httpquery_	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/p1/_httpquery_	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/p1/index.htm)
17:04:41	25255/25255	---M-Z	200	added ('OK')	text/html	etag:%2262a7-3fb4390643980-gzip%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/p1/parallel.htm	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/p1/parallel.html	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/p1/index.htm)
17:04:42	23555/23555	---M-Z	200	added ('OK')	text/html	etag:%225c03-3fb4390643980-gzip%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/p1/post.htm	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/p1/post.html	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/p1/index.htm)
